"FID","Area_Day_21","Area_Day_21_.MPH.","Area_Day_29","Area_Day_29_.MPH.","Area_Growth","Area_Growth_.MPH.","DTF","LTF","LTF_.MPH.","Perimeter_Day_21_.MPH.","Perimeter_Day_29","Perimeter_Day_29_.MPH.","Perimeter_Growth","Perimeter_Growth_.MPH.","Rosette_Diameter","Rosette_Diameter_.MPH.","Rosette_Dry_Mass_.MPH."
"C350",81.0835,29.819,53.2607,6.9745,26.1774,3.4341,3.7242,2.8373,0.2342,7.3349,24.1816,3.0091,15.1442,2.9803,63.6441,1.344,0.686
"C351",76.1595,9.5242,53.7966,5.5577,26.9999,3.4303,3.6698,2.6318,0.1554,3.4253,24.9632,3.017,16.7085,3.8974,107.3268,46.0002,0.9276
"C352",73.8341,5.3588,52.1707,2.1207,26.0978,1.2053,3.5946,2.5353,-0.0169,0.892,22.6364,0.244,13.8784,0.2033,88.7867,17.6203,0.1596
"C353",76.2816,14.3254,53.3645,3.8218,26.5799,1.8794,3.6656,2.5848,0.0695,3.7281,24.3344,1.4643,15.7606,1.3331,117.5267,22.8397,0.669
"C354",78.4496,13.69,52.3471,2.1587,25.8182,0.8792,3.5776,2.4238,-0.0852,3.2036,24.0872,1.1313,15.2024,0.9605,76.2221,8.4471,-0.4085
"C355",81.9089,20.8332,55.8449,6.1442,27.919,3.2838,3.5514,2.3995,-0.0617,5.6986,25.3806,2.7649,16.8851,2.936,82.523,11.7482,-0.0203
"C356",75.2614,13.6894,52.2888,2.9605,26.0688,1.4508,3.5324,2.3346,-0.2237,4.532,23.2919,1.1837,14.2469,0.7683,78.6782,6.3173,-0.1616
"C357",69.1536,4.0872,50.2813,1.7128,25.203,0.9869,3.5772,2.3653,-0.1129,0.5161,22.6275,0.23,14.1363,0.1756,78.7368,5.0089,-0.1385
"C358",81.0582,17.3122,53.6113,3.6968,26.4748,1.7918,3.6566,2.4854,0.17,3.8927,24.1151,1.6744,15.1745,1.7378,89.5121,25.5831,0.5341
"C359",71.8801,5.7874,51.2136,3.1683,25.6038,1.9263,3.5306,2.2894,-0.1244,1.7967,23.0619,0.9609,14.1735,1.0381,66.9318,17.2161,0.2305
"C360",74.9379,17.905,51.7731,5.8253,25.7322,3.2488,3.506,2.2223,-0.0755,3.459,22.9242,1.7039,13.933,1.9734,59.674,10.9194,0.3072
"C361",79.2541,21.038,56.2653,8.4654,28.3829,4.822,3.5642,2.3939,-0.2043,3.5203,24.6933,2.4839,16.3632,3.0293,92.6464,26.3563,-0.2573
"C362",82.9178,18.5778,56.3694,5.0996,28.188,2.6949,3.5846,2.5009,0.1136,4.4816,24.5808,1.373,15.5692,1.1314,85.3201,15.0457,0.3344
"C363",78.4124,12.462,55.0128,4.4983,27.6262,2.5208,3.5848,2.5094,0.0997,3.2989,24.0689,2.0002,15.4553,2.3981,90.9004,38.3735,0.7036
"C364",74.0149,7.765,50.8661,1.4951,25.1861,0.6889,3.6304,2.5478,0.1258,1.1143,22.7432,0.5742,13.9268,0.7043,85.0766,18.5484,0.433
"C365",81.0994,18.3856,57.3723,4.8448,28.9707,2.5046,3.554,2.5005,0.0453,4.1442,24.8785,1.5202,16.4353,1.4664,89.094,12.9426,0.2962
"C366",75.156,3.4978,54.2834,1.7005,27.359,0.9609,3.643,2.5728,0.0148,0.6441,24.13,0.7612,15.7785,0.9562,106.5053,26.1151,0.3936
"C367",76.5291,14.0432,54.1742,3.5814,27.2172,1.8327,3.6094,2.5489,0.0821,3.75,23.8808,1.1828,15.264,0.995,96.9443,15.5208,0.443
"C368",84.9725,21.7368,57.2046,6.0166,28.5666,3.1785,3.6032,2.5885,0.1909,5.0306,24.6522,1.9173,15.8036,1.8862,83.8345,12.877,0.7597
"C370",76.3633,3.5796,54.2947,1.5812,27.303,0.9117,3.5284,2.3248,-0.0953,0.6947,24.0682,0.6141,15.5561,0.7644,72.7552,1.9242,-0.2534
"C371",82.879,22.9866,56.1074,4.254,27.9892,1.9189,3.5812,2.5716,0.1022,5.8773,23.8485,1.242,14.622,0.5936,81.1261,5.7093,0.4412
"C372",78.8052,6.8684,55.6125,3.173,27.9901,1.8549,3.5846,2.4516,0.225,1.7668,23.7472,0.8083,14.8653,0.8789,88.4835,21.4987,0.473
"C373",76.8474,9.7842,54.9103,4.3398,27.6728,2.5431,3.547,2.3792,0.0543,1.9805,24.124,1.5248,15.6287,1.9436,87.6571,34.8854,0.5377
"C374",79.43,20.9514,55.0443,6.5714,27.5869,3.6512,3.5158,2.1635,-0.0453,4.3759,23.8994,2.1809,15.092,2.5827,66.1533,14.3428,0.196
"C376",83.3643,15.8798,55.3787,4.6618,27.4675,2.5034,3.4828,2.0066,-0.2525,2.6318,23.5825,1.3702,14.208,1.5096,47.9282,-8.8012,-0.4161
"C377",83.5694,13.2232,52.4098,2.218,25.3449,0.9756,3.6128,2.4577,0.1427,3.0108,23.1151,1.1733,13.3481,1.1839,70.9744,14.9353,-0.1256
